...1,project_reference,academic_year,mobility_start_month,mobility_end_month,mobility_duration,activity_mob,participant_nationality,participant_gender,participant_profile,special_needs,fewer_opportunities,group_leader,participant_age,sending_country_code,sending_city,sending_organization,receiving_country_code,receiving_city,receiving_organization
186,2014-1-AT02-KA347-000144,2014-2015,2014-12,2014-12,1,National youth meetings,AT,Male,Learner,No,No,No,26,AT,1090 Wien,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN,AT,Salzburg,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN
187,2014-1-AT02-KA347-000144,2014-2015,2014-12,2014-12,1,National youth meetings,AT,Male,Learner,No,No,No,27,AT,"8010, Graz",OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN,AT,Graz,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN
188,2014-1-AT02-KA347-000144,2014-2015,2014-12,2014-12,1,National youth meetings,AT,Male,Learner,No,No,No,28,AT,6850 Dornbirn,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN,AT,Salzburg,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN
189,2014-1-AT02-KA347-000144,2014-2015,2014-12,2014-12,1,National youth meetings,AT,Male,Learner,No,No,No,28,AT,6900 Bregenz,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN,AT,Salzburg,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN
190,2014-1-AT02-KA347-000144,2014-2015,2014-12,2014-12,1,National youth meetings,AT,Male,Learner,No,No,No,28,AT,8010; GRAZ,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN,AT,Graz,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN
191,2014-1-AT02-KA347-000144,2014-2015,2014-12,2014-12,1,National youth meetings,AT,Male,Learner,No,No,No,29,AT,1030 Wien,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN,AT,Graz,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN
192,2014-1-AT02-KA347-000144,2014-2015,2014-12,2014-12,1,National youth meetings,AT,Male,Learner,No,No,No,29,AT,Graz,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN,AT,Graz,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN
193,2014-1-AT02-KA347-000144,2014-2015,2014-12,2014-12,1,National youth meetings,AT,Male,Learner,No,No,No,29,AT,Langenwang,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN,AT,Graz,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN
194,2014-1-AT02-KA347-000144,2014-2015,2014-12,2014-12,1,National youth meetings,AT,Male,Learner,No,No,No,29,AT,Wien,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN,AT,Salzburg,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN
195,2014-1-AT02-KA347-000144,2014-2015,2014-12,2014-12,1,National youth meetings,AT,Male,Learner,No,No,No,30,AT,Wien,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN,AT,Salzburg,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN
196,2014-1-AT02-KA347-000144,2014-2015,2014-12,2014-12,1,National youth meetings,AT,Male,Learner,No,No,No,33,AT,8420 kaindorf/ sulm,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN,AT,Graz,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN
197,2014-1-AT02-KA347-000144,2014-2015,2014-12,2014-12,1,National youth meetings,AT,Male,Learner,No,No,No,37,AT,8103 Eisbach-Rein,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN,AT,Graz,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN
198,2014-1-AT02-KA347-000144,2014-2015,2014-12,2014-12,1,National youth meetings,AT,Male,Learner,No,No,No,38,AT,Graz,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN,AT,Graz,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN
199,2014-1-AT02-KA347-000144,2014-2015,2014-12,2014-12,1,National youth meetings,AT,Male,Learner,No,No,No,48,AT,5110 Oberndorf,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN,AT,Salzburg,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN
200,2014-1-AT02-KA347-000144,2014-2015,2014-12,2014-12,1,National youth meetings,AT,Undefined,Learner,No,No,No,28,AT,"8010, Graz",OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN,AT,Graz,OSTERREICHISCHE KINDER UND JUGENDVERTRETUNG VEREIN
622,2014-1-BG01-KA347-001363,2014-2015,2014-12,2014-12,2,National youth meetings,BG,Female,Learner,No,No,No,18,BG,�����,"""""Youth and Civil Initiatives in the Rose Valley"""" NGO",BG,Karlovo,"""""Youth and Civil Initiatives in the Rose Valley"""" NGO"
623,2014-1-BG01-KA347-001363,2014-2015,2014-12,2014-12,2,National youth meetings,BG,Female,Learner,No,No,No,19,BG,�������,"""""Youth and Civil Initiatives in the Rose Valley"""" NGO",BG,Karlovo,"""""Youth and Civil Initiatives in the Rose Valley"""" NGO"
624,2014-1-BG01-KA347-001363,2014-2015,2014-12,2014-12,2,National youth meetings,BG,Female,Learner,No,No,No,22,BG,�����,"""""Youth and Civil Initiatives in the Rose Valley"""" NGO",BG,Karlovo,"""""Youth and Civil Initiatives in the Rose Valley"""" NGO"
625,2014-1-BG01-KA347-001363,2014-2015,2014-12,2014-12,2,National youth meetings,BG,Female,Learner,No,No,No,25,BG,�������,"""""Youth and Civil Initiatives in the Rose Valley"""" NGO",BG,Karlovo,"""""Youth and Civil Initiatives in the Rose Valley"""" NGO"
626,2014-1-BG01-KA347-001363,2014-2015,2014-12,2014-12,2,National youth meetings,BG,Female,Learner,No,No,No,28,BG,�����,"""""Youth and Civil Initiatives in the Rose Valley"""" NGO",BG,Karlovo,"""""Youth and Civil Initiatives in the Rose Valley"""" NGO"
627,2014-1-BG01-KA347-001363,2014-2015,2014-12,2014-12,2,National youth meetings,BG,Female,Learner,No,No,No,30,BG,�������,"""""Youth and Civil Initiatives in the Rose Valley"""" NGO",BG,Karlovo,"""""Youth and Civil Initiatives in the Rose Valley"""" NGO"
628,2014-1-BG01-KA347-001363,2014-2015,2014-12,2014-12,2,National youth meetings,BG,Female,Learner,No,No,No,35,BG,�������,"""""Youth and Civil Initiatives in the Rose Valley"""" NGO",BG,Karlovo,"""""Youth and Civil Initiatives in the Rose Valley"""" NGO"
